buurt;raster_groen_m2;raster_verhard_m2;raster_water_m2;raster_groen_pct;raster_verhard_pct;raster_water_pct;raster_groen_per_inw;raster_groen_per_hh;bgt_groen_m2;bgt_verhard_m2;bgt_water_m2;bgt_groen_pct;bgt_verhard_pct;bgt_water_pct;bgt_groen_per_inw;bgt_groen_per_hh;aantal_inwoners;aantal_huishoudens;oppervlakte_buurt
Archimedesbuurt;59674,88;95534,88;3861,44;37,51;60,06;2,43;31,16;62,49;28999,43;137357,31;4165,76;17,01;80,55;2,44;15,14;30,37;1915;955;159065,13911098972
Architectenbuurt;78178,31;98256,44;2979,0;43,57;54,77;1,66;43,8;91,97;37281,02;164043,77;3759,38;18,18;79,99;1,83;20,89;43,86;1785;850;179414,72225566694
Bakenes;29355,69;197412,5;25552,62;11,63;78,24;10,13;14,39;23,02;4857,16;228394,17;26531,57;1,87;87,92;10,21;2,38;3,81;2040;1275;252316,19144663916
Binnenstad;26006,62;232939,5;9713,56;9,68;86,7;3,62;7,92;13,44;3938,15;266657,39;9377,63;1,41;95,24;3,35;1,2;2,04;3285;1935;268659,68173561426
Bloemenbuurt;148483,94;190214,81;13023,12;42,22;54,08;3,7;114,22;206,23;75147,35;293689,33;14583,38;19,6;76,6;3,8;57,81;104,37;1300;720;351720,45868444693
Boerhaavevaart;174785,12;117829,06;38175,69;52,84;35,62;11,54;200,9;478,86;204503,8;237524,29;33107,34;43,04;49,99;6,97;235,06;560,28;870;365;330784,9935755658
Bomenbuurt-oost;73265,56;107753,81;0,0;40,47;59,53;0,0;44,81;107,74;1940,35;183520,51;0,0;1,05;98,95;0,0;1,19;2,85;1635;680;181019,01110351464
Bomenbuurt-west;55240,31;120207,69;0,0;31,49;68,51;0,0;26,69;60,37;4507,96;176771,53;0,0;2,49;97,51;0,0;2,18;4,93;2070;915;175445,389781208
Bosch en Vaart;209405,0;168318,62;19528,56;52,71;42,37;4,92;96,72;231,39;100117,54;304417,44;22515,83;23,44;71,28;5,27;46,24;110,63;2165;905;397251,6403024066
Buitengebied Zuiderpolder;419411,69;81735,94;102377,06;69,49;13,54;16,96;1553,38;3106,75;324852,43;203147,86;104371,2;51,37;32,12;16,5;1203,16;2406,31;270;135;603524,3871597174
Burgemeesterskwartier;34262,44;76038,0;0,0;31,06;68,94;0,0;24,92;61,18;139,15;114417,46;0,0;0,12;99,88;0,0;0,1;0,25;1375;560;110299,9574864989
Burgwal;22292,25;150157,69;40011,62;10,49;70,68;18,83;9,43;15,48;1878,95;180861,44;40243,13;0,84;81,11;18,05;0,79;1,3;2365;1440;212464,17507301664
Componistenbuurt;50486,06;88166,94;8366,0;34,34;59,97;5,69;38,25;86,3;25082,79;132000,7;8450,9;15,15;79,74;5,11;19,0;42,88;1320;585;147019,32911598383
Cremerbuurt;23112,56;71699,62;0,0;24,38;75,62;0,0;18,56;34,24;4011,65;95610,44;0,0;4,03;95,97;0,0;3,22;5,94;1245;675;94812,41968082877
De Burgen;75620,75;74593,0;7434,81;47,97;47,32;4,72;40,44;73,78;36582,81;142306,58;7787,48;19,6;76,23;4,17;19,56;35,69;1870;1025;157646,49365207742
De Eenhoorn;173121,31;12076,25;105084,94;59,64;4,16;36,2;3462,43;8656,07;135825,7;66092,05;105107,25;44,24;21,53;34,23;2716,51;6791,29;50;20;290282,87839496834
De Goede Hoop;25222,69;129535,62;20410,06;14,4;73,95;11,65;9,78;18,02;1214,66;157542,06;20209,06;0,68;88,03;11,29;0,47;0,87;2580;1400;175168,63669986522
De Krim;158805,94;249316,62;23520,0;36,79;57,76;5,45;130,7;302,49;85380,0;361630,02;24528,69;18,11;76,69;5,2;70,27;162,63;1215;525;431644,3474256873
Dietsveld;43008,0;80816,12;6079,5;33,11;62,21;4,68;29,66;73,52;11675,33;115067,32;6249,1;8,78;86,52;4,7;8,05;19,96;1450;585;129903,37125493604
Ellertsveld;121413,31;92786,38;23507,31;51,08;39,03;9,89;85,8;162,97;54570,67;180766,72;23660,46;21,07;69,79;9,14;38,57;73,25;1415;745;237729,25034329985
Erasmusbuurt;87589,19;114134,19;1966,56;43,0;56,03;0,97;35,39;81,48;42527,31;163847,83;2190,58;20,39;78,56;1,05;17,18;39,56;2475;1075;203691,40922075312
Florapark;81651,38;77023,12;0,0;51,46;48,54;0,0;83,32;139,57;29011,75;143904,08;0,0;16,78;83,22;0,0;29,6;49,59;980;585;158674,74561014952
